"em","sector","year","proxy_file","proxybackup_file"
"NOx","Energy Sector",2090,"NOx_2015_ENE","population_2015"
"NOx","Energy Sector",2100,"NOx_2015_ENE","population_2015"
"NOx","Industrial Sector",2015,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2020,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2030,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2040,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2050,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2060,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2070,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2080,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2090,"NOx_2015_IND","population_2015"
"NOx","Industrial Sector",2100,"NOx_2015_IND","population_2015"
"H2","Aircraft",2015,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2020,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2030,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2040,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2050,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2060,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2070,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2080,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2090,"NOx_2015_AIR","population_2015"
"H2","Aircraft",2100,"NOx_2015_AIR","population_2015"
"H2","Transportation Sector",2015,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2020,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2030,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2040,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2050,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2060,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2070,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2080,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2090,"CO_2015_TRA","population_2015"
"H2","Transportation Sector",2100,"CO_2015_TRA","population_2015"
"H2","International Shipping",2015,"NOx_2015_SHP","population_2015"
"H2","International Shipping",2020,"NOx_2020_SHP","population_2015"
"H2","International Shipping",2030,"NOx_2030_SHP","population_2015"
"H2","International Shipping",2040,"NOx_2040_SHP","population_2015"
"H2","International Shipping",2050,"NOx_2050_SHP","population_2015"
"H2","International Shipping",2060,"NOx_2050_SHP","population_2015"
"H2","International Shipping",2070,"NOx_2050_SHP","population_2015"
"H2","International Shipping",2080,"NOx_2050_SHP","population_2015"
"H2","International Shipping",2090,"NOx_2050_SHP","population_2015"
"H2","International Shipping",2100,"NOx_2050_SHP","population_2015"
"H2","Energy Sector",2015,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2020,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2030,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2040,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2050,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2060,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2070,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2080,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2090,"CO_2015_ENE","population_2015"
"H2","Energy Sector",2100,"CO_2015_ENE","population_2015"
"H2","Agriculture",2015,"CO_2015_AGR","population_2015"
"H2","Agriculture",2020,"CO_2015_AGR","population_2015"
"H2","Agriculture",2030,"CO_2015_AGR","population_2015"
"H2","Agriculture",2040,"CO_2015_AGR","population_2015"
"H2","Agriculture",2050,"CO_2015_AGR","population_2015"
"H2","Agriculture",2060,"CO_2015_AGR","population_2015"
"H2","Agriculture",2070,"CO_2015_AGR","population_2015"
"H2","Agriculture",2080,"CO_2015_AGR","population_2015"
"H2","Agriculture",2090,"CO_2015_AGR","population_2015"
"H2","Agriculture",2100,"CO_2015_AGR","population_2015"

"H2","Industrial Sector",2015,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2020,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2030,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2040,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2050,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2060,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2070,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2080,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2090,"CO_2015_IND","population_2015"
"H2","Industrial Sector",2100,"CO_2015_IND","population_2015"

"H2","Residential, Commercial, Other",2015,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2020,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2030,"CO_2015_RCO","population_2015"
"H2","Residential, Commercial, Other",2040,"CO_2015_RCO","population_2015"
